ip,msg,score
114.112.172.50,":'SQL Injection Attack',",6
114.112.172.50,":'SQL Injection Attack: Common DB Names Detected',",1
114.112.172.50,":'XSS Filter - Category 1: Script Tag Vector',",1
114.115.130.198,MSG,0
114.115.155.239,":'PHP Injection Attack: Low-Value PHP Function Call Found',",69
114.115.155.239,":'Remote Command Execution: Unix Shell Expression Found',",10
114.115.155.239,":'SQL Comment Sequence Detected.',",12
114.116.25.159,":'PHP Injection Attack: High-Risk PHP Function Call Found',",30
114.116.25.159,":'PHP Injection Attack: PHP Open Tag Found',",17
114.116.25.159,":'Path Traversal Attack (/../)',",1
114.116.25.159,":'SQL Comment Sequence Detected.',",1
114.116.34.229,":'PHP Injection Attack: High-Risk PHP Function Call Found',",11
114.116.34.229,":'SQL Injection Attack',",11
114.116.34.229,MSG,0
114.116.74.89,MSG,0
114.119.40.143,":'PHP Injection Attack: High-Risk PHP Function Call Found',",13
114.119.40.143,":'Remote Command Execution: Wildcard bypass technique attempt',",8
114.119.40.143,":'SQL Comment Sequence Detected.',",8
114.215.118.95,MSG,0
114.222.222.14,":'Path Traversal Attack (/../)',",7
114.222.222.14,MSG,0
114.223.60.154,":'PHP Injection Attack: High-Risk PHP Function Call Found',",45170
114.223.60.154,":'PHP Injection Attack: Low-Value PHP Function Call Found',",7515
114.223.60.154,":'SQL Comment Sequence Detected.',",7515
114.223.60.154,":'SQL Injection Attack',",17072
114.223.60.154,MSG,0
114.223.60.96,":'PHP Injection Attack: High-Risk PHP Function Call Found',",5127
114.223.60.96,":'PHP Injection Attack: Low-Value PHP Function Call Found',",637
114.223.60.96,":'SQL Comment Sequence Detected.',",637
114.223.60.96,":'SQL Injection Attack',",1413
114.223.60.96,MSG,0
114.223.61.51,":'PHP Injection Attack: High-Risk PHP Function Call Found',",2320
114.223.61.51,":'PHP Injection Attack: Low-Value PHP Function Call Found',",280
114.223.61.51,":'SQL Comment Sequence Detected.',",280
114.223.61.51,":'SQL Injection Attack',",642
114.224.28.105,MSG,0
114.224.28.149,":'PHP Injection Attack: High-Risk PHP Function Call Found',",10983
114.224.28.149,":'PHP Injection Attack: Low-Value PHP Function Call Found',",1320
114.224.28.149,":'SQL Comment Sequence Detected.',",1320
114.224.28.149,":'SQL Injection Attack',",3024
114.224.28.149,MSG,0
114.224.28.161,MSG,0
114.226.128.99,":'PHP Injection Attack: High-Risk PHP Function Call Found',",175
114.226.128.99,":'SQL Injection Attack',",175
114.228.157.130,MSG,0
114.228.218.248,MSG,0
114.32.153.15,MSG,0
114.55.28.10,MSG,0
114.70.192.119,MSG,0
114.70.195.183,MSG,0
114.80.208.164,":'PHP Injection Attack: High-Risk PHP Function Call Found',",353474
114.80.208.164,":'PHP Injection Attack: Low-Value PHP Function Call Found',",339765
114.80.208.164,":'PHP Injection Attack: Variables Found',",338521
114.80.208.164,":'SQL Comment Sequence Detected.',",912
114.80.208.164,":'SQL Injection Attack',",353474
114.80.227.148,":'PHP Injection Attack: High-Risk PHP Function Call Found',",1483
114.80.227.148,":'PHP Injection Attack: Low-Value PHP Function Call Found',",26
114.80.227.148,":'PHP Injection Attack: PHP Open Tag Found',",97
114.80.227.148,":'Path Traversal Attack (/../)',",135
114.80.227.148,":'Possible XSS Attack Detected - HTML Tag Handler',",106
114.80.227.148,":'Remote Command Execution: Unix Shell Expression Found',",18
114.80.227.148,":'Remote Command Execution: Wildcard bypass technique attempt',",135
114.80.227.148,":'SQL Comment Sequence Detected.',",296
114.80.227.148,":'SQL Hex Encoding Identified',",64
114.80.227.148,":'SQL Injection Attack',",189
114.80.227.148,":'SQL Injection Attack: Common DB Names Detected',",64
114.80.227.148,":'XSS Filter - Category 1: Script Tag Vector',",102
114.80.227.148,":'XSS Filter - Category 3: Attribute Vector',",8
114.80.227.148,":'XSS Filter - Category 5: Disallowed HTML Attributes',",3
114.92.107.23,MSG,0
114.97.184.70,":'PHP Injection Attack: Low-Value PHP Function Call Found',",522
114.97.184.70,":'Remote Command Execution: Unix Shell Expression Found',",95
114.97.184.70,":'SQL Comment Sequence Detected.',",97
114.98.113.233,":'PHP Injection Attack: High-Risk PHP Function Call Found',",662
114.98.113.233,":'PHP Injection Attack: Low-Value PHP Function Call Found',",71
114.98.113.233,":'SQL Comment Sequence Detected.',",81
114.98.113.233,":'SQL Injection Attack',",170
114.98.113.77,":'PHP Injection Attack: High-Risk PHP Function Call Found',",5840
114.98.113.77,":'PHP Injection Attack: Low-Value PHP Function Call Found',",544
114.98.113.77,":'SQL Comment Sequence Detected.',",604
114.98.113.77,":'SQL Injection Attack',",1375
114.99.108.205,":'PHP Injection Attack: High-Risk PHP Function Call Found',",2291
114.99.108.205,":'SQL Injection Attack',",2272
114.99.108.65,":'PHP Injection Attack: High-Risk PHP Function Call Found',",161
114.99.108.65,":'PHP Injection Attack: PHP Open Tag Found',",7
114.99.108.65,":'PHP Injection Attack: Variable Function Call Found',",7
114.99.108.65,":'SQL Comment Sequence Detected.',",7
114.99.108.65,":'SQL Injection Attack',",107
114.99.109.53,":'PHP Injection Attack: High-Risk PHP Function Call Found',",627
114.99.109.53,":'SQL Injection Attack',",627
114.99.109.57,":'PHP Injection Attack: High-Risk PHP Function Call Found',",290
114.99.109.57,":'SQL Injection Attack',",288
114.99.114.44,":'PHP Injection Attack: High-Risk PHP Function Call Found',",558
114.99.114.44,":'SQL Injection Attack',",555
114.99.117.196,":'PHP Injection Attack: High-Risk PHP Function Call Found',",674
114.99.117.196,":'PHP Injection Attack: PHP Open Tag Found',",71
114.99.117.196,":'PHP Injection Attack: Variable Function Call Found',",71
114.99.117.196,":'SQL Comment Sequence Detected.',",71
114.99.117.196,":'SQL Injection Attack',",486
114.99.117.200,":'PHP Injection Attack: High-Risk PHP Function Call Found',",7382
114.99.117.200,":'SQL Injection Attack',",7348
114.99.24.109,MSG,0
114.99.25.199,MSG,0
114.99.26.113,MSG,0
114.99.27.132,MSG,0
114.99.27.39,MSG,0
114.99.27.84,":'PHP Injection Attack: High-Risk PHP Function Call Found',",14646
114.99.27.84,":'PHP Injection Attack: Low-Value PHP Function Call Found',",1300
114.99.27.84,":'SQL Comment Sequence Detected.',",1300
114.99.27.84,":'SQL Injection Attack',",3636
114.99.29.99,MSG,0
114.99.30.149,":'PHP Injection Attack: High-Risk PHP Function Call Found',",1594
114.99.30.149,":'PHP Injection Attack: Low-Value PHP Function Call Found',",199
114.99.30.149,":'SQL Comment Sequence Detected.',",199
114.99.30.149,":'SQL Injection Attack',",471
114.99.30.149,MSG,0
114.99.31.44,MSG,0
115.151.0.183,":'PHP Injection Attack: High-Risk PHP Function Call Found',",113195
115.151.0.183,":'PHP Injection Attack: Low-Value PHP Function Call Found',",101366
115.151.0.183,":'PHP Injection Attack: Variables Found',",101181
115.151.0.183,":'SQL Comment Sequence Detected.',",323
115.151.0.183,":'SQL Injection Attack',",113195
115.151.0.183,MSG,0
115.151.1.176,":'PHP Injection Attack: High-Risk PHP Function Call Found',",71348
115.151.1.176,":'PHP Injection Attack: Low-Value PHP Function Call Found',",67886
115.151.1.176,":'PHP Injection Attack: Variables Found',",67647
115.151.1.176,":'SQL Comment Sequence Detected.',",211
115.151.1.176,":'SQL Injection Attack',",71348
115.151.4.103,":'PHP Injection Attack: High-Risk PHP Function Call Found',",113730
115.151.4.103,":'PHP Injection Attack: Low-Value PHP Function Call Found',",106169
115.151.4.103,":'PHP Injection Attack: Variables Found',",105420
115.151.4.103,":'SQL Comment Sequence Detected.',",348
115.151.4.103,":'SQL Injection Attack',",113730
115.151.7.55,":'PHP Injection Attack: High-Risk PHP Function Call Found',",171162
115.151.7.55,":'PHP Injection Attack: Low-Value PHP Function Call Found',",159890
115.151.7.55,":'PHP Injection Attack: Variables Found',",159280
115.151.7.55,":'SQL Comment Sequence Detected.',",468
115.151.7.55,":'SQL Injection Attack',",171162
115.151.7.55,MSG,0
115.195.73.95,MSG,0
115.195.74.250,":'Detects conditional SQL injection attempts',",8
115.195.74.250,":'PHP Injection Attack: High-Risk PHP Function Call Found',",318
115.195.74.250,":'PHP Injection Attack: Low-Value PHP Function Call Found',",113
115.195.74.250,":'PHP Injection Attack: PHP Open Tag Found',",107
115.195.74.250,":'PHP Injection Attack: Variables Found',",107
115.195.74.250,":'SQL Comment Sequence Detected.',",115
115.195.74.250,":'SQL Injection Attack',",113
115.195.74.250,":'SQL Injection Attack: Common DB Names Detected',",105
115.195.74.250,MSG,0
115.198.87.84,":'PHP Injection Attack: High-Risk PHP Function Call Found',",5283
115.198.87.84,":'PHP Injection Attack: Low-Value PHP Function Call Found',",431
115.198.87.84,":'SQL Comment Sequence Detected.',",431
115.198.87.84,":'SQL Injection Attack',",1314
115.202.225.131,MSG,0
115.202.235.196,MSG,0
115.203.167.84,MSG,0
115.203.204.67,":'PHP Injection Attack: High-Risk PHP Function Call Found',",1
115.203.204.67,":'SQL Injection Attack',",1
115.203.204.67,MSG,0
115.203.25.208,MSG,0
115.214.208.62,MSG,0
115.214.209.223,MSG,0
115.221.113.11,":'PHP Injection Attack: High-Risk PHP Function Call Found',",9178
115.221.113.11,":'PHP Injection Attack: Low-Value PHP Function Call Found',",1337
115.221.113.11,":'SQL Comment Sequence Detected.',",1337
115.221.113.11,":'SQL Injection Attack',",4227
115.221.125.40,":'IE XSS Filters - Attack Detected.',",13
115.221.125.40,":'PHP Injection Attack: High-Risk PHP Function Call Found',",8407
115.221.125.40,":'PHP Injection Attack: Low-Value PHP Function Call Found',",1231
115.221.125.40,":'Possible XSS Attack Detected - HTML Tag Handler',",13
115.221.125.40,":'SQL Comment Sequence Detected.',",1244
115.221.125.40,":'SQL Injection Attack',",3880
115.221.125.40,":'XSS Filter - Category 1: Script Tag Vector',",13
115.221.125.40,":'XSS Filter - Category 3: Attribute Vector',",13
115.221.125.40,":'XSS Filter - Category 4: Javascript URI Vector',",13
115.221.125.40,":'XSS Filter - Category 5: Disallowed HTML Attributes',",13
115.230.124.26,":'PHP Injection Attack: High-Risk PHP Function Call Found',",869
115.230.124.26,":'PHP Injection Attack: Low-Value PHP Function Call Found',",22
115.230.124.26,":'PHP Injection Attack: PHP Open Tag Found',",14
115.230.124.26,":'Path Traversal Attack (/../)',",28
115.230.124.26,":'Remote Command Execution: Unix Shell Expression Found',",5953
115.230.124.26,":'SQL Comment Sequence Detected.',",5998
115.230.124.26,":'SQL Hex Encoding Identified',",45
115.230.124.26,":'SQL Injection Attack',",882
115.231.20.191,":'PHP Injection Attack: High-Risk PHP Function Call Found',",12
115.231.20.191,":'PHP Injection Attack: Low-Value PHP Function Call Found',",7
115.231.20.191,":'SQL Comment Sequence Detected.',",7
115.231.20.191,":'SQL Injection Attack',",7
115.231.20.192,MSG,0
115.231.222.141,MSG,0
115.231.222.79,":'PHP Injection Attack: High-Risk PHP Function Call Found',",278471
115.231.222.79,":'PHP Injection Attack: Low-Value PHP Function Call Found',",27680
115.231.222.79,":'Remote Command Execution: Unix Shell Expression Found',",12
115.231.222.79,":'SQL Comment Sequence Detected.',",28929
115.231.222.79,":'SQL Injection Attack',",103822
115.231.233.38,MSG,0
115.238.154.35,":'PHP Injection Attack: High-Risk PHP Function Call Found',",3443
115.238.154.35,":'Path Traversal Attack (/../)',",110
115.238.154.35,":'Remote Command Execution: Unix Shell Expression Found',",115
115.238.154.35,":'SQL Comment Sequence Detected.',",23
115.238.55.18,":'Detects SQL benchmark and sleep injection attempts including conditional queries',",88
115.238.55.18,":'Detects blind sqli tests using sleep() or benchmark().',",278
115.238.55.18,":'Looking for basic sql injection. Common attack string for mysql, oracle and others.',",337
115.238.55.18,":'MySQL in-line comment detected.',",92
115.238.55.18,":'PHP Injection Attack: High-Risk PHP Function Call Found',",6016
115.238.55.18,":'PHP Injection Attack: Low-Value PHP Function Call Found',",13348
115.238.55.18,":'PHP Injection Attack: PHP Open Tag Found',",1223
115.238.55.18,":'Path Traversal Attack (/../)',",6440
115.238.55.18,":'Possible XSS Attack Detected - HTML Tag Handler',",2844
115.238.55.18,":'Remote Command Execution: Unix Shell Expression Found',",8763
115.238.55.18,":'Remote Command Execution: Wildcard bypass technique attempt',",657
115.238.55.18,":'SQL Comment Sequence Detected.',",21155
115.238.55.18,":'SQL Hex Encoding Identified',",1024
115.238.55.18,":'SQL Injection Attack',",3339
115.238.55.18,":'SQL Injection Attack: Common DB Names Detected',",665
115.238.55.18,":'XSS Filter - Category 1: Script Tag Vector',",2727
115.238.55.18,":'XSS Filter - Category 3: Attribute Vector',",361
115.238.55.18,":'XSS Filter - Category 5: Disallowed HTML Attributes',",1110
115.238.55.18,MSG,0
115.238.55.22,":'Detects SQL benchmark and sleep injection attempts including conditional queries',",7
115.238.55.22,":'Detects blind sqli tests using sleep() or benchmark().',",10
115.238.55.22,":'Looking for basic sql injection. Common attack string for mysql, oracle and others.',",180
115.238.55.22,":'MySQL in-line comment detected.',",49
115.238.55.22,":'PHP Injection Attack: High-Risk PHP Function Call Found',",2092
115.238.55.22,":'PHP Injection Attack: Low-Value PHP Function Call Found',",4767
115.238.55.22,":'PHP Injection Attack: PHP Open Tag Found',",553
115.238.55.22,":'Path Traversal Attack (/../)',",1968
115.238.55.22,":'Possible XSS Attack Detected - HTML Tag Handler',",821
115.238.55.22,":'Remote Command Execution: Unix Shell Expression Found',",2939
115.238.55.22,":'Remote Command Execution: Wildcard bypass technique attempt',",214
115.238.55.22,":'SQL Comment Sequence Detected.',",7270
115.238.55.22,":'SQL Hex Encoding Identified',",451
115.238.55.22,":'SQL Injection Attack',",1423
115.238.55.22,":'SQL Injection Attack: Common DB Names Detected',",293
115.238.55.22,":'XSS Filter - Category 1: Script Tag Vector',",782
115.238.55.22,":'XSS Filter - Category 3: Attribute Vector',",168
115.238.55.22,":'XSS Filter - Category 5: Disallowed HTML Attributes',",306
115.238.55.22,MSG,0
115.239.212.71,MSG,0
115.47.116.10,MSG,0
115.49.162.231,":'PHP Injection Attack: High-Risk PHP Function Call Found',",7017
115.49.162.231,":'PHP Injection Attack: Low-Value PHP Function Call Found',",6415
115.49.162.231,":'PHP Injection Attack: Variables Found',",6415
115.49.162.231,":'SQL Injection Attack',",7017
115.49.25.177,MSG,0
115.60.58.139,":'Path Traversal Attack (/../)',",6
115.60.58.139,":'SQL Comment Sequence Detected.',",29
115.60.61.155,":'Path Traversal Attack (/../)',",9
115.60.61.155,":'SQL Comment Sequence Detected.',",25
115.68.56.66,MSG,0
116.196.19.207,":'PHP Injection Attack: High-Risk PHP Function Call Found',",104268
116.196.19.207,":'PHP Injection Attack: Low-Value PHP Function Call Found',",10300
116.196.19.207,":'Remote Command Execution: Wildcard bypass technique attempt',",1588
116.196.19.207,":'SQL Comment Sequence Detected.',",11888
116.196.19.207,":'SQL Injection Attack',",15432
116.196.21.162,MSG,0
116.196.21.251,":'PHP Injection Attack: High-Risk PHP Function Call Found',",16968
116.196.21.251,":'PHP Injection Attack: Low-Value PHP Function Call Found',",805
116.196.21.251,":'SQL Comment Sequence Detected.',",805
116.196.21.251,":'SQL Injection Attack',",5689
116.196.7.23,MSG,0
116.204.15.158,MSG,0
116.209.138.239,MSG,0
116.211.141.86,":'PHP Injection Attack: High-Risk PHP Function Call Found',",14447
116.211.141.86,":'PHP Injection Attack: Low-Value PHP Function Call Found',",1840
116.211.141.86,":'Path Traversal Attack (/../)',",5
116.211.141.86,":'SQL Comment Sequence Detected.',",1840
116.211.141.86,":'SQL Injection Attack',",5609
116.226.58.191,MSG,0
116.23.231.242,MSG,0
116.236.232.250,MSG,0
116.247.110.142,":'PHP Injection Attack: Low-Value PHP Function Call Found',",57
116.247.110.142,":'Remote Command Execution: Unix Shell Expression Found',",10
116.247.110.142,":'SQL Comment Sequence Detected.',",11
116.247.110.142,MSG,0
116.255.150.191,":'PHP Injection Attack: High-Risk PHP Function Call Found',",172605
116.255.150.191,":'PHP Injection Attack: Low-Value PHP Function Call Found',",16960
116.255.150.191,":'SQL Comment Sequence Detected.',",21434
116.255.150.191,":'SQL Injection Attack',",38236
116.255.176.129,":'PHP Injection Attack: High-Risk PHP Function Call Found',",134928
116.255.176.129,":'PHP Injection Attack: Low-Value PHP Function Call Found',",620
116.255.176.129,":'SQL Comment Sequence Detected.',",620
116.255.176.129,":'SQL Injection Attack',",19751
116.255.176.129,MSG,0
116.255.202.122,MSG,0
116.3.0.50,MSG,0
116.3.10.15,MSG,0
116.3.10.26,MSG,0
116.3.100.14,MSG,0
116.3.100.193,MSG,0
116.3.100.63,MSG,0
116.3.101.19,MSG,0
116.3.102.249,MSG,0
116.3.103.189,MSG,0
116.3.103.238,MSG,0
116.3.104.107,MSG,0
116.3.104.180,MSG,0
116.3.104.224,MSG,0
116.3.104.72,MSG,0
116.3.106.15,MSG,0
116.3.106.154,MSG,0
116.3.106.68,MSG,0
116.3.109.26,MSG,0
116.3.109.88,MSG,0
116.3.11.68,MSG,0
116.3.110.165,MSG,0
116.3.110.178,MSG,0
116.3.110.79,MSG,0
116.3.111.249,MSG,0
116.3.116.80,MSG,0
116.3.117.155,MSG,0
116.3.117.184,MSG,0
116.3.117.197,MSG,0
116.3.118.109,MSG,0
116.3.118.117,MSG,0
116.3.118.162,MSG,0
116.3.118.191,MSG,0
116.3.118.193,MSG,0
116.3.118.23,MSG,0
116.3.119.185,MSG,0
116.3.119.240,MSG,0
116.3.12.67,MSG,0
116.3.12.87,MSG,0
116.3.124.2,MSG,0
116.3.124.5,MSG,0
116.3.124.8,MSG,0
116.3.128.64,MSG,0
116.3.13.183,MSG,0
116.3.130.237,MSG,0
116.3.133.83,MSG,0
116.3.133.89,MSG,0
116.3.137.73,MSG,0
116.3.138.139,MSG,0
116.3.138.229,MSG,0
116.3.139.190,MSG,0
116.3.141.166,MSG,0
116.3.152.177,MSG,0
116.3.152.178,MSG,0
116.3.152.99,MSG,0
116.3.153.179,MSG,0
116.3.153.186,MSG,0
116.3.153.70,MSG,0
116.3.155.4,MSG,0
116.3.155.45,MSG,0
116.3.155.76,MSG,0
116.3.157.12,MSG,0
116.3.158.70,MSG,0
116.3.176.35,MSG,0
116.3.176.43,MSG,0
116.3.177.47,MSG,0
116.3.178.108,MSG,0
116.3.178.126,MSG,0
116.3.178.218,MSG,0
116.3.178.60,MSG,0
116.3.179.1,MSG,0
116.3.179.232,MSG,0
116.3.179.48,MSG,0
116.3.180.163,MSG,0
116.3.180.206,MSG,0
116.3.181.13,MSG,0
116.3.181.141,MSG,0
116.3.181.189,MSG,0
116.3.181.211,MSG,0
116.3.181.249,MSG,0
116.3.182.112,MSG,0
116.3.183.4,MSG,0
116.3.184.79,MSG,0
116.3.184.93,MSG,0
116.3.184.97,MSG,0
116.3.186.79,MSG,0
116.3.187.170,MSG,0
116.3.190.10,MSG,0
116.3.190.217,MSG,0
116.3.191.19,MSG,0
116.3.192.118,MSG,0
116.3.192.184,MSG,0
116.3.192.198,MSG,0
116.3.192.210,MSG,0
116.3.192.221,MSG,0
116.3.192.46,MSG,0
116.3.192.5,MSG,0
116.3.192.64,MSG,0
116.3.192.77,MSG,0
116.3.192.81,MSG,0
116.3.192.83,MSG,0
116.3.193.112,MSG,0
116.3.193.124,MSG,0
116.3.193.133,MSG,0
116.3.193.180,MSG,0
116.3.193.230,MSG,0
116.3.193.248,MSG,0
116.3.193.44,MSG,0
116.3.193.75,MSG,0
116.3.194.1,MSG,0
116.3.194.121,MSG,0
116.3.194.141,MSG,0
116.3.194.153,MSG,0
116.3.194.157,MSG,0
116.3.194.161,MSG,0
116.3.194.171,MSG,0
116.3.194.174,MSG,0
116.3.194.193,MSG,0
116.3.194.200,MSG,0
116.3.194.220,MSG,0
116.3.194.26,MSG,0
116.3.194.42,MSG,0
116.3.194.55,MSG,0
116.3.194.61,MSG,0
116.3.194.62,MSG,0
116.3.194.79,MSG,0
116.3.194.85,MSG,0
116.3.194.99,MSG,0
116.3.195.143,MSG,0
116.3.195.186,MSG,0
116.3.195.199,MSG,0
116.3.195.232,MSG,0
116.3.195.240,MSG,0
116.3.195.29,MSG,0
116.3.195.50,MSG,0
116.3.195.74,MSG,0
116.3.195.95,MSG,0
116.3.196.141,MSG,0
116.3.196.142,MSG,0
116.3.196.211,MSG,0
116.3.196.27,MSG,0
116.3.196.3,MSG,0
116.3.196.34,MSG,0
116.3.197.155,MSG,0
116.3.197.170,MSG,0
116.3.197.200,MSG,0
116.3.197.214,MSG,0
116.3.197.242,MSG,0
116.3.197.35,MSG,0
116.3.197.44,MSG,0
116.3.197.55,MSG,0
116.3.197.70,MSG,0
116.3.197.95,MSG,0
116.3.198.213,MSG,0
116.3.198.227,MSG,0
116.3.198.236,MSG,0
116.3.198.5,MSG,0
116.3.198.53,MSG,0
116.3.198.57,MSG,0
116.3.198.6,MSG,0
116.3.198.98,MSG,0
116.3.199.111,MSG,0
116.3.199.116,MSG,0
116.3.199.132,MSG,0
116.3.199.170,MSG,0
116.3.199.199,MSG,0
116.3.199.26,MSG,0
116.3.199.51,MSG,0
116.3.199.55,MSG,0
116.3.2.241,MSG,0
116.3.2.63,MSG,0
116.3.200.10,MSG,0
116.3.200.165,MSG,0
116.3.200.171,MSG,0
116.3.200.82,MSG,0
116.3.201.104,MSG,0
116.3.201.17,MSG,0
116.3.201.172,MSG,0
116.3.201.186,MSG,0
116.3.201.2,MSG,0
116.3.201.23,MSG,0
116.3.201.237,MSG,0
116.3.201.74,MSG,0
116.3.201.80,MSG,0
116.3.202.126,MSG,0
116.3.202.13,":'PHP Injection Attack: High-Risk PHP Function Call Found',",9
116.3.202.13,":'PHP Injection Attack: Low-Value PHP Function Call Found',",9
116.3.202.13,":'Possible XSS Attack Detected - HTML Tag Handler',",9
116.3.202.13,":'SQL Comment Sequence Detected.',",9
116.3.202.13,":'SQL Injection Attack',",9
116.3.202.13,":'US-ASCII Malformed Encoding XSS Filter - Attack Detected.',",9
116.3.202.13,":'XSS Filter - Category 1: Script Tag Vector',",9
116.3.202.13,":'XSS Filter - Category 5: Disallowed HTML Attributes',",9
116.3.202.170,MSG,0
116.3.202.173,MSG,0
116.3.202.48,MSG,0
116.3.202.80,MSG,0
116.3.203.102,MSG,0
116.3.203.16,MSG,0
116.3.203.161,MSG,0
116.3.203.236,MSG,0
116.3.203.244,MSG,0
116.3.203.250,MSG,0
116.3.203.29,MSG,0
116.3.203.57,MSG,0
116.3.203.98,MSG,0
116.3.204.11,MSG,0
116.3.204.110,MSG,0
116.3.204.152,MSG,0
116.3.204.43,MSG,0
116.3.204.50,MSG,0
116.3.204.53,MSG,0
116.3.204.80,MSG,0
116.3.204.90,MSG,0
116.3.205.12,MSG,0
116.3.205.177,MSG,0
116.3.205.198,MSG,0
116.3.205.220,MSG,0
116.3.205.243,MSG,0
116.3.205.69,MSG,0
116.3.205.81,MSG,0
116.3.206.151,MSG,0
116.3.206.163,MSG,0
116.3.206.197,MSG,0
116.3.206.31,MSG,0
116.3.206.35,MSG,0
116.3.206.64,MSG,0
116.3.206.72,MSG,0
116.3.206.96,MSG,0
116.3.207.10,MSG,0
116.3.207.153,MSG,0
116.3.207.210,MSG,0
116.3.207.214,MSG,0
116.3.207.247,MSG,0
116.3.207.76,MSG,0
116.3.208.205,MSG,0
116.3.209.10,MSG,0
116.3.210.14,MSG,0
116.3.210.179,MSG,0
116.3.211.108,MSG,0
116.3.211.109,MSG,0
116.3.212.162,MSG,0
116.3.212.168,MSG,0
116.3.213.141,MSG,0
116.3.214.122,MSG,0
116.3.214.41,MSG,0
116.3.215.104,MSG,0
116.3.215.213,MSG,0
116.3.216.7,MSG,0
116.3.217.132,MSG,0
116.3.217.176,MSG,0
116.3.217.88,MSG,0
116.3.218.204,MSG,0
116.3.219.211,MSG,0
116.3.221.153,MSG,0
116.3.221.161,MSG,0
116.3.221.204,MSG,0
116.3.222.14,MSG,0
116.3.223.218,MSG,0
116.3.225.144,MSG,0
116.3.226.184,MSG,0
116.3.227.117,MSG,0
116.3.230.188,MSG,0
116.3.232.189,MSG,0
116.3.233.2,MSG,0
116.3.236.67,MSG,0
116.3.24.113,MSG,0
116.3.24.181,MSG,0
116.3.24.253,MSG,0
116.3.24.74,MSG,0
116.3.240.14,MSG,0
116.3.240.188,MSG,0
116.3.240.198,MSG,0
116.3.240.239,MSG,0
116.3.240.240,MSG,0
116.3.241.109,MSG,0
116.3.241.124,MSG,0
116.3.241.133,MSG,0
116.3.241.137,MSG,0
116.3.241.152,MSG,0
116.3.241.17,MSG,0
116.3.241.211,MSG,0
116.3.241.218,MSG,0
116.3.242.187,MSG,0
116.3.242.192,MSG,0
116.3.242.213,MSG,0
116.3.243.111,MSG,0
116.3.243.227,MSG,0
116.3.243.24,MSG,0
116.3.243.38,MSG,0
116.3.243.63,MSG,0
116.3.244.155,MSG,0
116.3.244.195,MSG,0
116.3.244.206,MSG,0
116.3.244.207,MSG,0
116.3.244.208,MSG,0
116.3.244.209,MSG,0
116.3.244.212,MSG,0
116.3.244.225,MSG,0
116.3.245.117,MSG,0
116.3.245.144,MSG,0
116.3.245.169,MSG,0
116.3.245.172,MSG,0
116.3.245.201,MSG,0
116.3.245.203,MSG,0
116.3.245.223,MSG,0
116.3.245.32,MSG,0
116.3.246.104,MSG,0
116.3.246.172,MSG,0
116.3.246.185,MSG,0
116.3.246.88,MSG,0
116.3.247.125,MSG,0
116.3.247.152,MSG,0
116.3.247.156,MSG,0
116.3.247.18,MSG,0
116.3.247.188,MSG,0
116.3.247.215,MSG,0
116.3.247.217,MSG,0
116.3.247.48,MSG,0
116.3.247.50,MSG,0
116.3.248.115,MSG,0
116.3.248.144,MSG,0
116.3.248.147,MSG,0
116.3.248.20,MSG,0
116.3.248.206,MSG,0
116.3.248.240,MSG,0
116.3.248.251,MSG,0
116.3.248.8,MSG,0
116.3.248.80,MSG,0
116.3.249.154,MSG,0
116.3.249.238,MSG,0
116.3.249.4,MSG,0
116.3.249.72,MSG,0
116.3.249.82,MSG,0
116.3.25.240,MSG,0
116.3.250.105,MSG,0
116.3.250.108,MSG,0
116.3.250.114,MSG,0
116.3.250.128,MSG,0
116.3.250.137,MSG,0
116.3.250.146,MSG,0
116.3.250.203,MSG,0
116.3.250.230,MSG,0
116.3.250.241,MSG,0
116.3.250.251,MSG,0
116.3.251.106,MSG,0
116.3.251.116,MSG,0
116.3.251.209,MSG,0
116.3.251.220,MSG,0
116.3.251.228,MSG,0
116.3.251.230,MSG,0
116.3.251.4,MSG,0
116.3.251.63,MSG,0
116.3.251.7,MSG,0
116.3.251.73,MSG,0
116.3.252.100,MSG,0
116.3.252.167,MSG,0
116.3.252.209,MSG,0
116.3.252.21,MSG,0
116.3.252.254,MSG,0
116.3.252.51,MSG,0
116.3.253.121,MSG,0
116.3.253.15,MSG,0
116.3.253.207,MSG,0
116.3.253.210,MSG,0
116.3.253.213,MSG,0
116.3.253.36,MSG,0
116.3.253.89,MSG,0
116.3.254.189,MSG,0
116.3.254.223,MSG,0
116.3.254.228,MSG,0
116.3.254.235,MSG,0
116.3.254.239,MSG,0
116.3.254.54,MSG,0
116.3.254.77,MSG,0
116.3.254.93,MSG,0
116.3.255.116,MSG,0
116.3.255.169,MSG,0
116.3.255.205,MSG,0
116.3.255.207,MSG,0
116.3.255.242,MSG,0
116.3.255.32,MSG,0
116.3.27.202,MSG,0
116.3.27.251,MSG,0
116.3.28.124,MSG,0
116.3.28.197,MSG,0
116.3.29.124,MSG,0
116.3.29.146,MSG,0
116.3.29.19,MSG,0
116.3.3.59,MSG,0
116.3.30.254,MSG,0
116.3.31.27,MSG,0
116.3.31.28,MSG,0
116.3.32.38,MSG,0
116.3.33.204,MSG,0
116.3.34.244,MSG,0
116.3.35.93,MSG,0
116.3.36.182,MSG,0
116.3.36.59,MSG,0
116.3.37.101,MSG,0
116.3.37.154,MSG,0
116.3.38.36,MSG,0
